Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.000289230415305888,0.000249411598945454,0.187980731962265,0,0,0,0.666709487101566,0.000340731189480827,1.31314406533508E-07,6.5890876562343E-08,0.000815919754734774,1.02713383575126E-07,0.00103203950949751,0,0,0,0,0,0,package://ok1_description/meshes/body_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/body_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1_sholder,-0.0100797996076242,-0.00825373387628797,-0.00980713437986327,0,0,0,0.0738318074656321,2.03261832359899E-05,-3.91092696448275E-07,-5.88192153749325E-09,2.57318446254337E-05,4.12090146617561E-08,1.36167803302263E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg1_sholder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg1_sholder.STL,,l_sholder-2,Origin_leg1_sholder_joint,Axis_leg1_sholder_joint,leg1_sholder_joint,continuous,0.0995397271888414,0.039000000000001,0.204530000000001,-0.00328404923919971,-0.00366189363205534,-3.14158062773443,body_link,0.999993295202696,0,-0.0036619051945618,,,,,,,,,,,,
leg1_upperLeg,0.0452792232423253,-0.0334191491253542,0.000339191016331182,0,0,0,0.133370989032647,2.99525334668162E-05,1.16405980492441E-05,1.12203183472814E-05,0.000132015647561153,-2.67116694774973E-06,0.00013744227372692,0,0,0,0,0,0,package://ok1_description/meshes/leg1_upperLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg1_upperLeg.STL,,l_upper_leg-1,Origin_leg1_upperLeg_joint,Axis_leg1_upperLeg_joint,leg1_upperLeg_joint,continuous,-0.0106969449547786,-0.0269671783926309,-0.00999951076746555,0.0046694621549828,0.790773853694313,0.00330749615393403,leg1_sholder,0,1,0,,,,,,,,,,,,
leg1_lowerLeg,0.000429565936262033,-0.0283722783636612,-0.031315595489188,0,0,0,0.0659083879166162,8.23189514277027E-05,4.08574889787754E-07,-4.69346391911572E-06,7.95092547910553E-05,3.87565200524758E-06,1.03388792847456E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg1_lowerLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg1_lowerLeg.STL,,l_bottom_leg-1,Origin_leg1_lowerLeg_joint,Axis_leg1_lowerLeg_joint,leg1_lowerLeg_joint,continuous,0.109493678029156,-0.0108000000000003,-0.0253117951091679,0,-0.000825326475181663,0,leg1_upperLeg,0,1,0,,,,,,,,,,,,
leg1_shoe,0.00652423030663664,0.00266149687275634,0.0100000000000001,0,0,0,0.00331613062793773,5.17046615587835E-07,1.10180563264079E-07,-7.98238940544262E-22,2.51821628828276E-07,2.51979886394113E-21,5.23322313772602E-07,0,0,0,0,0,0,package://ok1_description/meshes/leg1_shoe.STL,1,0.705882352941176,0,1,0,0,0,0,0,0,package://ok1_description/meshes/leg1_shoe.STL,,shoe-1,Origin_leg1_shoe_joint_fixed,Axis_leg1_shoe_joint_fixed,leg1_shoe_joint_fixed,fixed,0.000589525911829744,-0.0178000000001228,-0.117942205677224,1.5707963267954,1.5562513086388,0,leg1_lowerLeg,0,0,0,,,,,,,,,,,,
leg2_sholder,-0.0100438192282825,0.00836741230603254,-0.00974756844305564,0,0,0,0.073831807465632,2.03261363437043E-05,3.90997840110236E-07,2.32859753686833E-08,2.57311366320398E-05,1.00792005743152E-07,1.36175352158989E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg2_sholder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg2_sholder.STL,,r_sholder-1,Origin_leg2_sholder_joint,Axis_leg2_sholder_joint,leg2_sholder_joint,continuous,0.0995397271888414,-0.038999999999999,0.20453,-0.00832062433548992,0,-3.14159265358978,body_link,1,0,0,,,,,,,,,,,,
leg2_upperLeg,0.0453516729072076,0.0334198832097389,0.000470285466705023,0,0,0,0.133373382672251,2.98897566491885E-05,-1.16496286965906E-05,1.09094378253702E-05,0.000132019176310046,2.63785791012871E-06,0.000137510911727131,0,0,0,0,0,0,package://ok1_description/meshes/leg2_upperLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg2_upperLeg.STL,,r_upper_leg-1,Origin_leg2_upperLeg_joint,Axis_leg2_upperLeg_joint,leg2_upperLeg_joint,continuous,-0.0106602559735094,0.0270818546194537,-0.00972500130406427,0.0118214582116251,0.789970926671989,0.00839736341152224,leg2_sholder,0,1,0,,,,,,,,,,,,
leg2_lowerLeg,0.00040180607625448,0.0283723893074776,-0.0312645968917846,0,0,0,0.0659096193564579,8.23143081355185E-05,-4.12078189570487E-07,-4.75859756735665E-06,7.95131332007829E-05,-3.87549805442627E-06,1.0347555832262E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg2_lowerLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg2_lowerLeg.STL,,r_bottom_leg-1,Origin_leg2_lowerLeg_joint,Axis_leg2_lowerLeg_joint,leg2_lowerLeg_joint,continuous,0.109666332997159,0.0107999999999999,-0.0249949576306193,0,-0.00460769933465639,0,leg2_upperLeg,0,1,0,,,,,,,,,,,,
leg2_shoe,0.00652423030663671,0.00266149687275635,0.01,0,0,0,0.00331613062793772,5.17046615587834E-07,1.10180563264079E-07,-7.73876518247331E-22,2.51821628828277E-07,1.82998051339885E-21,5.23322313772601E-07,0,0,0,0,0,0,package://ok1_description/meshes/leg2_shoe.STL,1,0.705882352941176,0,1,0,0,0,0,0,0,package://ok1_description/meshes/leg2_shoe.STL,,shoe-2,Origin_leg2_shoe_joint_fixed,Axis_leg2_shoe_joint_fixed,leg2_shoe_joint_fixed,fixed,0.00103389302339335,0.0178000000001247,-0.117735366628566,-1.57079632679489,0.863252906301781,0,leg2_lowerLeg,0,0,0,,,,,,,,,,,,
leg3_sholder,0.0285906233719435,-0.00825373387628808,-0.0099487427521034,0,0,0,0.0738318074656322,2.03261832359957E-05,-3.91092696448283E-07,-5.88192153752963E-09,2.57318446254395E-05,4.12090146625951E-08,1.36167803302263E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg3_sholder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg3_sholder.STL,,l_sholder-1,Origin_leg3_sholder_joint,Axis_leg3_sholder_joint,leg3_sholder_joint,continuous,-0.0877895905525046,0.0389999999999991,0.20453,-0.00328404923919971,-0.00366189363205534,-3.14158062773443,body_link,0.999993295202696,0,-0.0036619051945618,,,,,,,,,,,,
leg3_upperLeg,0.0452792232423253,-0.0334191491253545,0.000339191016331258,0,0,0,0.133370989032647,2.99525334668161E-05,1.16405980492442E-05,1.12203183472814E-05,0.000132015647561153,-2.67116694774972E-06,0.00013744227372692,0,0,0,0,0,0,package://ok1_description/meshes/leg3_upperLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg3_upperLeg.STL,,l_upper_leg-2,Origin_leg3_upperLeg_joint,Axis_leg3_upperLeg_joint,leg3_upperLeg_joint,continuous,0.0279734780247891,-0.0269671783926307,-0.0101411191397053,0.0046694621549828,0.790773853694313,0.00330749615393497,leg3_sholder,0,1,0,,,,,,,,,,,,
leg3_lowerLeg,0.000429565936262449,-0.0283722783636618,-0.0313155954891775,0,0,0,0.0659083879166247,8.23189514277364E-05,4.0857488978749E-07,-4.69346391911413E-06,7.95092547910898E-05,3.87565200524633E-06,1.03388792847472E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg3_lowerLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg3_lowerLeg.STL,,l_bottom_leg-2,Origin_leg3_lowerLeg_joint,Axis_leg3_lowerLeg_joint,leg3_lowerLeg_joint,continuous,0.109493678029156,-0.0108000000000005,-0.0253117951091679,0,-0.000825326475181663,0,leg3_upperLeg,0,1,0,,,,,,,,,,,,
leg3_shoe,0.0065242303066366,0.00266149687275638,0.01,0,0,0,0.00331613062793771,5.17046615587833E-07,1.10180563264079E-07,-1.30083363930248E-21,2.51821628828275E-07,4.03192913658043E-21,5.233223137726E-07,0,0,0,0,0,0,package://ok1_description/meshes/leg3_shoe.STL,1,0.705882352941176,0,1,0,0,0,0,0,0,package://ok1_description/meshes/leg3_shoe.STL,,shoe-3,Origin_leg3_shoe_joint_fixed,Axis_leg3_shoe_joint_fixed,leg3_shoe_joint_fixed,fixed,0.000589525911828731,-0.0178000000001217,-0.117942205677204,1.57079632679544,1.55625130863879,0,leg3_lowerLeg,0,0,0,,,,,,,,,,,,
leg4_sholder,0.028416436745352,0.00836741230603257,-0.00974756844305578,0,0,0,0.0738318074656321,2.03261363437078E-05,3.90997840110236E-07,2.32859753686822E-08,2.57311366320434E-05,1.00792005743151E-07,1.36175352158989E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg4_sholder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg4_sholder.STL,,r_sholder-2,Origin_leg4_sholder_joint,Axis_leg4_sholder_joint,leg4_sholder_joint,continuous,-0.0880000168375241,-0.0390000000000009,0.20453,-0.00832062433548992,0,-3.14159265358978,body_link,1,0,0,,,,,,,,,,,,
leg4_upperLeg,0.0453516729072075,0.0334198832097389,0.000470285466704967,0,0,0,0.133373382672251,2.98897566491886E-05,-1.16496286965906E-05,1.09094378253702E-05,0.000132019176310047,2.6378579101287E-06,0.000137510911727132,0,0,0,0,0,0,package://ok1_description/meshes/leg4_upperLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg4_upperLeg.STL,,r_upper_leg-2,Origin_leg4_upperLeg_joint,Axis_leg4_upperLeg_joint,leg4_upperLeg_joint,continuous,0.0278000000001251,0.0270818546194538,-0.00972500130406432,0.0118214582116251,0.789970926671988,0.00839736341152174,leg4_sholder,0,1,0,,,,,,,,,,,,
leg4_lowerLeg,0.000401806076257033,0.0283723893074795,-0.031264596891804,0,0,0,0.0659096193564845,8.23143081355244E-05,-4.12078189570611E-07,-4.75859756735976E-06,7.95131332007868E-05,-3.87549805442544E-06,1.0347555832263E-05,0,0,0,0,0,0,package://ok1_description/meshes/leg4_lowerLeg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ok1_description/meshes/leg4_lowerLeg.STL,,r_bottom_leg-2,Origin_leg4_lowerLeg_joint,Axis_leg4_lowerLeg_joint,leg4_lowerLeg_joint,continuous,0.109666332997159,0.0107999999999999,-0.0249949576306194,0,-0.00460769933465794,0,leg4_upperLeg,0,1,0,,,,,,,,,,,,
leg4_shoe,0.00652423030663669,0.00266149687275635,0.01,0,0,0,0.00331613062793771,5.17046615587833E-07,1.1018056326408E-07,-7.18437621093239E-22,2.51821628828277E-07,1.91842954968397E-21,5.23322313772599E-07,0,0,0,0,0,0,package://ok1_description/meshes/leg4_shoe.STL,1,0.705882352941176,0,1,0,0,0,0,0,0,package://ok1_description/meshes/leg4_shoe.STL,,shoe-4,Origin_leg4_shoe_joint_fixed,Axis_leg4_shoe_joint_fixed,leg4_shoe_joint_fixed,fixed,0.00103389302339188,0.0178000000001242,-0.117735366628596,-1.57079632679489,0.86325290630178,0,leg4_lowerLeg,0,0,0,,,,,,,,,,,,
cover_front,-0.018505,0.017577,0.02168,0,0,0,0.04699,4.3768E-05,-4.4514E-11,-5.8772E-11,7.5336E-05,-5.5959E-06,9.4358E-05,0,0,0,0,0,0,package://ok1_description/meshes/cover_front.STL,1,0.70588,0,1,0,0,0,0,0,0,package://ok1_description/meshes/cover_front.STL,,cover_front-1,Origin_cover_front_joint_fixed,Axis_cover_front_joint_fixed,cover_front_joint_fixed,fixed,0.13999998316235,0.0185052150793399,0.179908987433885,1.57079632679489,0,1.57079632679491,body_link,0,0,0,,,,,,,,,,,,
cover_back,-0.0005261,0.00079675,0.022474,0,0,0,0.042009,3.8552E-05,-2.7177E-07,3.6415E-07,6.5114E-05,1.0132E-06,8.2896E-05,0,0,0,0,0,0,package://ok1_description/meshes/cover_back.STL,1,0.70588,0,1,0,0,0,0,0,0,package://ok1_description/meshes/cover_back.STL,,cover_back-1,Origin_cover_back_joint_fixed,Axis_cover_back_joint_fixed,cover_back_joint_fixed,fixed,-0.140000016837649,0,0.19533,1.5707963267949,0,-1.57079632679489,body_link,0,0,0,,,,,,,,,,,,
cover_top,0.068998,-0.047119,-0.086136,0,0,0,0.061906,0.00019967,5.7843E-07,-4.7343E-07,0.00028451,-1.3111E-07,9.7577E-05,0,0,0,0,0,0,package://ok1_description/meshes/cover_top.STL,1,0.70588,0,1,0,0,0,0,0,0,package://ok1_description/meshes/cover_top.STL,,cover_upper-1,Origin_cover_top_joint_fixed,Axis_cover_top_joint_fixed,cover_top_joint_fixed,fixed,-0.0860000168376504,0.0683888383366848,0.269684956078798,1.5707963267949,0,-1.57079632679489,body_link,0,0,0,,,,,,,,,,,,
cover_bottom,5.5511E-17,-0.062106,1.6653E-16,0,0,0,0.057052,0.00016495,-1.3463E-20,1.4428E-19,0.0002475,-9.2922E-20,9.3828E-05,0,0,0,0,0,0,package://ok1_description/meshes/cover_bottom.STL,1,0.70588,0,1,0,0,0,0,0,0,package://ok1_description/meshes/cover_bottom.STL,,cover_bottom-1,Origin_cover_bottom_joint_fixed,Axis_cover_bottom_joint_fixed,cover_bottom_joint_fixed,fixed,0,0,0.23063,1.57079632679489,0,1.57079632679491,body_link,0,0,0,,,,,,,,,,,,
